City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Tecoanapa,MX,78.93,overcast clouds,16.52,-98.75,Hotel Manglares
404,Sinnamary,GF,77.4,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
411,Suez,EG,56.93,clear sky,29.97,32.53,Green House
413,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
416,Ixtapa,MX,77.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
419,Lobito,AO,75.78,overcast clouds,-12.35,13.55,Casa Rosa Hotel Residence
421,Belen,TR,53.6,broken clouds,36.49,36.22,Varlıbaş Uyku Sarayı
422,Ravar,IR,54.03,few clouds,31.27,56.81,computertik
424,Urucara,BR,76.75,scattered clouds,-2.54,-57.76,Pousada Maria Bonita
425,Plettenberg Bay,ZA,56.61,broken clouds,-34.05,23.37,Thanda Vista B&B
427,Ovalle,CL,52.02,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
428,Mazara Del Vallo,IT,55.4,light rain,37.66,12.59,Vizier Resort & Spa
431,Dharchula,IN,60.17,clear sky,29.85,80.53,Mahara Hotel
432,Flinders,AU,70.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
439,Terra Nova,BR,68.25,overcast clouds,-12.37,-40.67,
441,Puerto Escondido,MX,77.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
442,Mukdahan,TH,77.0,scattered clouds,16.58,104.5,Ban Kham Phung
443,Pocone,BR,78.08,light rain,-16.26,-56.62,Hotel e Churrascaria Pantaneira
445,Warri,NG,76.8,broken clouds,5.52,5.75,BON Hotel Delta
446,San Ramon,US,53.6,clear sky,37.78,-121.98,San Ramon Marriott
447,Dwarka,IN,77.95,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
450,Pauini,BR,76.21,overcast clouds,-7.71,-66.98,Casa do Kiwliks
451,Basmat,IN,66.2,haze,19.32,77.17,Atish Mundada's Home
454,Lahij,YE,69.67,few clouds,13.17,44.58,
458,Morro Bay,US,61.0,clear sky,35.37,-120.85,Inn at Morro Bay
462,Asmar,AF,52.81,clear sky,35.03,71.36,
465,Moron,AR,73.0,light rain,-34.65,-58.62,Hotel Morón
467,Tiznit,MA,59.04,clear sky,29.58,-9.5,
468,Huambo,AO,60.67,light rain,-12.78,15.74,SiSHotel
469,Broken Hill,AU,64.4,broken clouds,-31.95,141.43,Daydream Motel & Cottages
471,Apatou,GF,72.82,overcast clouds,5.16,-54.35,
474,Waipawa,NZ,60.01,overcast clouds,-41.41,175.52,Tora Coastal Walk
477,Benjamin Constant,BR,77.0,light rain,-4.38,-70.03,CASA AVALIADA
478,Hualmay,PE,66.09,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
485,Aripuana,BR,74.61,overcast clouds,-9.17,-60.63,
486,General Roca,AR,73.4,clear sky,-39.03,-67.58,Hotel El Recreo
487,Elat,IL,57.2,clear sky,29.56,34.95,Club Hotel Eilat
489,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
492,Erzin,TR,53.6,broken clouds,36.96,36.2,Artemis Otel
494,Guntur,IN,73.4,haze,16.3,80.45,OYO 49260 Sri Maha Veer Inn
495,Wenchi,GH,71.47,overcast clouds,7.74,-2.1,Ebenezer Hotel
496,Valparaiso,CL,53.6,overcast clouds,-33.04,-71.63,Hotel Ultramar
498,Tazmalt,DZ,51.8,clear sky,36.39,4.4,Hôtel Numédia
507,Kakrala,IN,62.98,clear sky,27.9,79.2,PigLand
508,Namibe,AO,68.45,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
512,Beohari,IN,64.47,clear sky,24.05,81.38,Samrat hotel and aman Mobile Showroom
513,Phalodi,IN,69.28,broken clouds,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
514,Salinopolis,BR,79.18,light rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
517,Tairua,NZ,64.99,few clouds,-37.02,175.85,Pacific Harbour Villas
522,Dunedin,NZ,67.55,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
523,Puerto Carreno,CO,76.33,overcast clouds,6.19,-67.49,Casa Hotel Victoria
527,Hobyo,SO,78.33,broken clouds,5.35,48.53,Halane Hotel and Restaurent
530,Itoman,JP,73.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
533,Gouyave,GD,78.8,few clouds,12.16,-61.73,Rumboat Retreat
